Date,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,ALL CRIMES
2001-01-01,133,4220,12996,3839,,301,7889,2371,2586,2.0,86.0,84,,71,36,147,201,4135,9343,,4.0,407,2.0,5445,1112,,317,4.0,2780,415,52,15344,673,74995
2001-02-01,114,4034,12005,3302,,259,7274,2116,2053,,74.0,54,,52,48,112,217,3532,8598,,2.0,281,,4794,795,2.0,344,,2312,282,26,13008,598,66288
2001-03-01,137,3777,10376,2497,,200,6281,1536,1609,,59.0,74,,30,24,97,163,2897,5337,,2.0,250,,3764,583,,357,3.0,1924,222,22,10436,465,53122
2001-04-01,89,2746,8325,1931,,135,4922,1133,1201,,79.0,118,,34,21,49,164,2119,4044,,2.0,198,,2481,564,1.0,229,1.0,1342,169,29,7719,321,40166
2001-05-01,94,2903,8886,1998,,158,4756,1067,1257,,94.0,84,,41,25,56,194,2196,4038,,1.0,211,2.0,2529,503,1.0,239,1.0,1491,225,11,8425,390,41876
2001-06-01,87,2767,8759,2087,,171,4773,1087,1230,,97.0,138,,43,33,119,143,2278,4034,,1.0,221,,2437,443,1.0,228,,1448,208,19,8622,349,41823
2001-07-01,124,3019,9112,2499,,188,5271,1047,1191,,99.0,156,,32,23,107,164,2569,3897,,2.0,213,2.0,2622,533,,213,,1658,245,16,9463,336,44801
2001-08-01,87,3021,8368,2451,,169,5107,1122,1282,,109.0,116,,36,16,88,133,2341,4237,,2.0,189,,2613,507,2.0,215,1.0,1704,212,13,9623,351,44115
2001-09-01,72,2859,8012,2393,,145,4695,1176,1185,,104.0,142,,41,27,91,131,2514,3667,,2.0,173,1.0,2291,423,1.0,374,,1757,153,11,8792,370,41602
2001-10-01,100,2621,8012,2664,,152,5129,1142,1286,,89.0,142,,21,28,59,123,2899,4017,,1.0,143,,2221,473,1.0,313,,1857,184,14,9013,427,43131
2001-11-01,65,2394,7098,2444,,136,4698,1092,1183,,77.0,128,,47,19,74,132,2379,4350,,3.0,159,,2297,592,1.0,174,,1595,159,17,7957,413,39683
2001-12-01,75,2078,6652,2113,,117,4256,980,1258,,50.0,98,,26,23,86,96,2223,4338,,,174,,2044,449,,164,1.0,1636,142,17,7485,335,36916
2002-01-01,95,2332,6905,2144,,193,4328,1140,1242,,51.0,90,,37,26,76,117,2127,4908,,3.0,335,,2874,613,1.0,195,,1507,178,12,7610,408,39547
2002-02-01,92,2080,6016,1609,,125,3846,1131,1020,,48.0,64,,26,14,58,83,1888,4914,,1.0,158,,2803,555,1.0,184,,1164,138,20,6437,335,34810
2002-03-01,91,2523,7513,1755,,141,4582,1275,1052,,67.0,84,,30,30,77,124,2116,4941,,2.0,217,2.0,3034,512,,214,,1328,172,16,7378,365,39641
2002-04-01,82,2643,7902,1877,,157,4892,1234,1227,,78.0,47,,30,34,76,140,2072,4619,,1.0,210,1.0,3057,619,1.0,184,,1393,171,18,7648,351,40764
2002-05-01,83,3179,8907,2070,,161,4883,1195,1204,,77.0,51,,30,22,105,128,2026,4572,,2.0,210,1.0,2870,596,1.0,227,,1395,182,14,8345,402,42938
2002-06-01,84,3094,9520,2151,,171,4962,1089,1151,,121.0,66,,32,28,75,156,1956,3917,,5.0,256,,2746,444,2.0,266,,1527,260,14,8459,327,42879
2002-07-01,87,3123,9806,2449,,178,5413,1146,1243,,123.0,68,,36,30,55,117,2342,4009,,3.0,255,,2677,574,,246,,1804,254,23,9661,338,46060
2002-08-01,86,2893,8540,2441,,171,5103,1152,1246,,124.0,77,,18,28,78,91,2328,4132,,2.0,232,,2616,551,,210,,1941,192,15,9605,375,44247
2002-09-01,105,3006,8645,2371,,176,4953,1132,1132,,117.0,67,,39,41,67,111,2205,3656,,1.0,211,,2368,492,,210,2.0,1719,208,13,8954,420,42421
2002-10-01,87,2737,8043,2285,,160,5161,1281,1155,,80.0,57,,35,37,63,124,2260,4110,,4.0,225,1.0,2871,597,1.0,243,,1786,170,21,9205,384,43183
2002-11-01,69,2184,6620,2299,,136,4116,1079,1041,,45.0,39,,28,21,59,120,2081,4048,,2.0,206,,2463,437,1.0,158,,1541,149,22,7919,296,37179
2002-12-01,81,2052,6516,2338,,128,4114,1151,1097,,42.0,70,,22,30,52,115,1848,4380,,1.0,195,,2522,464,,143,,1527,145,15,7853,309,37210
2003-01-01,63,2014,6127,2039,,153,3794,1229,1171,,36.0,39,,40,38,47,124,1750,4742,,2.0,359,,2880,610,,165,1.0,1324,209,26,7613,355,36950
2003-02-01,58,1983,5687,1584,,117,3430,1181,1012,,37.0,31,,24,12,37,124,1499,4382,,,204,2.0,2564,446,1.0,186,,985,153,10,6529,273,32551
2003-03-01,72,2445,7401,1943,,125,4491,1294,1101,,65.0,52,,31,32,58,115,1798,4289,1.0,,254,,2924,452,2.0,227,,1310,149,23,7662,367,38683
2003-04-01,73,2450,7652,2034,,121,5234,1216,1164,,91.0,57,,39,31,57,119,1894,4309,,2.0,220,,2755,488,,185,,1296,156,22,7812,335,39812
2003-05-01,95,2848,8251,2090,,144,4878,1220,1160,,121.0,59,,32,34,84,124,1918,4419,,1.0,271,,2563,519,,245,,1446,183,21,8116,361,41203
2003-06-01,86,2619,8549,2103,,149,4930,1140,1119,,115.0,52,,31,28,68,123,1906,3983,,1.0,256,,2528,483,,225,,1532,205,24,8211,371,40837
2003-07-01,84,2793,8463,2233,,134,4964,1147,1128,,132.0,68,,31,30,57,93,2088,4078,,1.0,285,,2643,563,1.0,184,,1630,219,22,9998,344,43413
2003-08-01,87,2818,8250,2331,,183,5058,1306,1142,,135.0,48,,40,28,56,133,2036,4733,,3.0,282,,2714,564,,209,,1713,187,24,9849,334,44263
2003-09-01,92,2698,7495,2262,,137,4668,1251,1088,,128.0,51,,47,33,71,96,2021,4828,,2.0,275,,2368,570,1.0,232,,1581,177,18,8825,359,41374
2003-10-01,90,2568,7760,2346,,132,4966,1258,1138,,100.0,53,,30,49,48,101,1977,5798,,1.0,255,,2511,579,,218,,1660,198,22,8908,445,43211
2003-11-01,83,2145,6562,2105,,133,4575,1360,1063,,80.0,51,,35,27,56,91,1927,4686,,1.0,250,,2326,415,,185,,1416,157,17,7850,347,37943
